CourseID,CourseName,Unit,ReviewNumber,AvgStar,Level,Description
459,IBM Data Science Professional Certificate,IBM,69587,4.6,Beginner level,"Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles
Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL
Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines
Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers
"
869,What is Data Science?,IBM,68152,4.7,Beginner level,"Define data science and its importance in today’s data-driven world.
Describe the various paths that can lead to a career in data science.
 Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.
Explain why data science is considered the most in-demand job in the 21st century. 
"
243,Data Science Challenge,Coursera Project Network,0,0.0,Intermediate level,"Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
"
541,Leverage Data Science for a More Agile Supply Chain Specialization,"University of California, Irvine",184,4.5,Intermediate level,"Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.
Set up and solve optimization problems in Excel.
Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain.
"
434,Go Beyond the Numbers: Translate Data into Insights,Google,481,4.8,Advanced level,"Apply the exploratory data analysis (EDA) process
Explore the benefits of structuring and cleaning data
Investigate raw data using Python
Create data visualizations using Tableau 
"
92,Bayesian Statistics Specialization,"University of California, Santa Cruz",281,4.6,Intermediate level,"Bayesian Inference
Time Series Forecasting
Hierarchical Modeling
"
385,"Foundations: Data, Data, Everywhere",Google,99239,4.8,Beginner level,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.
Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.
Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.
Describe the role of a data analyst with specific reference to jobs.
"
435,Google Advanced Data Analytics Capstone,Google,532,4.9,Advanced level,"Examine data to identify patterns and trends 
Build models using machine learning techniques 
Create data visualizations 
Explore career resources 
"
250,Data Science Methods for Quality Improvement Specialization,University of Colorado Boulder,13,4.8,Intermediate level,"Manage, describe, and analyze data using applied statistics
Apply continuous and/or discrete data methods for process analysis, improvement, and ongoing management in a business or workplace
Analyze measurement systems to ensure their stability and capability
"
820,The Path to Insights: Data Models and Pipelines,Google,376,4.7,Advanced level,"Build data models that answer business questions 
Apply the ETL process to workplace scenarios
Explore ETL tools
Construct a pipeline to deliver necessary data
"
457,IBM Data Analyst Professional Certificate,IBM,17406,4.7,Beginner level,"Master the most up-to-date practical skills and tools that data analysts use in their daily roles
Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau
Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services 
Gain technical experience through hands on labs and projects and build a portfolio to showcase your work
"
408,Generative AI: Elevate Your Data Science Career,IBM,20,4.8,Intermediate level," Leverage generative AI tools, like GPT 3.5, ChatCSV, and tomat.ai, available to Data Scientists for querying and preparing data  
Examine real-world scenarios where generative AI can enhance data science workflows
Practice generative AI skills in hand-on labs and projects by generating and augmenting datasets for specific use cases
Apply generative AI techniques in the development and refinement of machine learning models
"
253,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Codio,22,3.6,Beginner level,"Be familiar with data science libraries in Python and R. 
Data transformation and normalization in Python and R.
Create graph and charts using Python and R.
"
706,Python Data Products for Predictive Analytics Specialization,University of California San Diego,166,4.1,Intermediate level,"Discover how to transform data and make it suitable for data-driven predictive tasks 
Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more
Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems
Perform simple regressions and classifications on datasets using machine learning libraries 
"
294,Data-driven Decision Making,PwC,6026,4.6,Beginner level,
397,"GIS, Mapping, and Spatial Analysis Specialization",University of Toronto,2314,4.9,Beginner level,
