CourseId,CourseName
768,What is Data Science?
212,Data Science Challenge
374,Go Beyond the Numbers: Translate Data into Insights
328,"Foundations: Data, Data, Everywhere"
375,Google Advanced Data Analytics Capstone
194,Data Analytics for Lean Six Sigma
221,Data Science for Business Innovation
722,The Path to Insights: Data Models and Pipelines
435,Introduction to Machine Learning
347,Generative AI: Elevate Your Data Science Career
249,Data-driven Decision Making
720,The Data Scientist’s Toolbox
59,Applied Machine Learning in Python
252,Databases and SQL for Data Science with Python
45,An Intuitive Introduction to Probability
263,Deep Neural Networks with PyTorch
176,Data Analysis Using Pyspark
743,Understanding and Visualizing Data with Python
381,HR Analytics- Build an HR dashboard using Power BI
464,Julia for Beginners in Data Science
219,Data Science as a Field
289,Econometrics: Methods and Applications
545,NLP: Twitter Sentiment Analysis
709,Supervised Machine Learning: Regression and Classification
231,Data Visualization and Communication with Tableau
198,Data Ecosystem
636,R Programming
665,SQL: A Practical Introduction for Querying Databases
359,Get Started with Python
384,Health Data Science Foundation
295,Essential Causal Inference Techniques for Data Science
641,Regression Analysis: Simplify Complex Data Relationships
650,Research Data Management and Sharing
696,Statistical Inference for Estimation in Data Science
674,"Sequences, Time Series and Prediction"
626,Python Project for Data Science
324,Foundations of Business Intelligence
151,Computational Neuroscience
278,"DevOps, DataOps, MLOps"
463,Julia Scientific Programming
256,"Decisions, Decisions: Dashboards and Reports"
89,Bioconductor for Genomic Data Science
721,The Nuts and Bolts of Machine Learning
27,Advanced Clinical Data Science
306,Exploratory Data Analysis for Machine Learning
625,Python Packages for Data Science
238,Data Visualization with Advanced Excel
552,Natural Language Processing with Probabilistic Models
70,AutoML tools for data science
695,Statistical Inference and Hypothesis Testing in Data Science Applications
334,Fundamentals of Machine Learning for Healthcare
662,SQL for Data Science
349,Generative AI: Foundation Models and Platforms
363,Getting Started with Data Analytics on AWS
383,Harnessing the Power of Data with Power BI
661,SQL for Beginners: Querying Data
95,Build Dashboards in Power BI
450,Introduction to R Programming for Data Science
613,Probability Theory: Foundation for Data Science
633,Python for Genomic Data Science
338,Fundamentals of Scalable Data Science
222,Data Science in Health Technology Assessment
701,Statistics for Genomic Data Science
