UserId,CourseName,Unit,Level
43517,What is Data Science?,IBM,Beginner level
7259,What is Data Science?,IBM,Beginner level
112871,What is Data Science?,IBM,Beginner level
52319,What is Data Science?,IBM,Beginner level
71903,What is Data Science?,IBM,Beginner level
62912,What is Data Science?,IBM,Beginner level
56494,What is Data Science?,IBM,Beginner level
23478,What is Data Science?,IBM,Beginner level
84429,What is Data Science?,IBM,Beginner level
23478,"Foundations: Data, Data, Everywhere",Google,Beginner level
23478,Data Analytics for Lean Six Sigma,,
23478,The Path to Insights: Data Models and Pipelines,Google,Advanced level
23478,Introduction to Machine Learning,,
62912,Introduction to Machine Learning,,
23478,Data-driven Decision Making,PwC,Beginner level
23478,The Data Scientist’s Toolbox,Johns Hopkins University,
23478,Applied Machine Learning in Python,University of Michigan,Intermediate level
23478,Databases and SQL for Data Science with Python,IBM,Beginner level
52319,Databases and SQL for Data Science with Python,IBM,Beginner level
23478,An Intuitive Introduction to Probability,,
23478,Deep Neural Networks with PyTorch,IBM,Intermediate level
23478,Understanding and Visualizing Data with Python,University of Michigan,Beginner level
23478,Econometrics: Methods and Applications,,
23478,NLP: Twitter Sentiment Analysis,Coursera Project Network,Beginner level
23478,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,Beginner level
23478,Data Visualization and Communication with Tableau,Duke University,
23478,R Programming,Johns Hopkins University,Intermediate level
23478,SQL: A Practical Introduction for Querying Databases,IBM,Beginner level
23478,Get Started with Python,Google,Advanced level
23478,Research Data Management and Sharing,,
23478,"Sequences, Time Series and Prediction",DeepLearning.AI,Intermediate level
23478,Python Project for Data Science,IBM,Intermediate level
23478,Foundations of Business Intelligence,Google,Advanced level
23478,Computational Neuroscience,,
23478,"Decisions, Decisions: Dashboards and Reports",Google,Advanced level
23478,Data Visualization with Advanced Excel,PwC,Beginner level
23478,Natural Language Processing with Probabilistic Models,DeepLearning.AI,Intermediate level
23478,SQL for Data Science,"University of California, Davis",Beginner level
23478,Python for Genomic Data Science,Johns Hopkins University,
23478,Fundamentals of Scalable Data Science,IBM,Beginner level
23478,Command Line Tools for Genomic Data Science,Johns Hopkins University,
23478,Data Analysis with Python,IBM,Beginner level
52319,Data Analysis with Python,IBM,Beginner level
43517,Data Analysis with Python,IBM,Beginner level
23478,Introduction to Data Science and scikit-learn in Python,LearnQuest,Beginner level
23478,"Python for Data Science, AI & Development",IBM,Beginner level
112871,"Python for Data Science, AI & Development",IBM,Beginner level
52319,"Python for Data Science, AI & Development",IBM,Beginner level
43517,Data Science Methodology,IBM,Beginner level
52319,Data Science Methodology,IBM,Beginner level
23478,Data Science Methodology,IBM,Beginner level
23478,Generative AI for Everyone,,
23478,Prompt Engineering for ChatGPT,Vanderbilt University,Beginner level
23478,Ask Questions to Make Data-Driven Decisions,Google,Beginner level
7259,Ask Questions to Make Data-Driven Decisions,Google,Beginner level
23478,Neural Networks and Deep Learning,DeepLearning.AI,Intermediate level
23478,Advanced Learning Algorithms,DeepLearning.AI,Beginner level
7259,Advanced Learning Algorithms,DeepLearning.AI,Beginner level
23478,Prepare Data for Exploration,Google,Beginner level
23478,Introduction to Artificial Intelligence (AI),IBM,Beginner level
49538,Introduction to Artificial Intelligence (AI),IBM,Beginner level
23478,Process Data from Dirty to Clean,Google,Beginner level
23478,Analyze Data to Answer Questions,Google,Beginner level
23478,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,Intermediate level
23478,Machine Learning with Python,IBM,Intermediate level
23478,A Crash Course in Data Science,Johns Hopkins University,Beginner level
23478,Share Data Through the Art of Visualization,Google,Beginner level
23478,Introduction to Machine Learning in Production,DeepLearning.AI,Advanced level
23478,Convolutional Neural Networks,DeepLearning.AI,Intermediate level
23478,Sequence Models,DeepLearning.AI,Intermediate level
23478,Google Data Analytics Capstone: Complete a Case Study,Google,Beginner level
23478,Structuring Machine Learning Projects,DeepLearning.AI,Beginner level
23478,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,Intermediate level
23478,Data Visualization and Dashboards with Excel and Cognos,IBM,Beginner level
23478,Machine Learning Foundations for Product Managers,Duke University,Beginner level
23478,Machine Learning Data Lifecycle in Production,DeepLearning.AI,Advanced level
23478,Data Visualization with Python,IBM,Intermediate level
23478,Data Visualization with Python,Duke University,Intermediate level
23478,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,Intermediate level
23478,Introduction to Statistics,,
23478,AI for Medical Diagnosis,DeepLearning.AI,Intermediate level
23478,"Extract, Transform and Load Data in Power BI",Microsoft,Beginner level
23478,Mathematics for Machine Learning: Linear Algebra,Imperial College London,Beginner level
23478,Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,Intermediate level
23478,Introduction to Computer Vision and Image Processing,IBM,Beginner level
49538,Introduction to Computer Vision and Image Processing,IBM,Beginner level
23478,Introduction to Deep Learning & Neural Networks with Keras,IBM,Intermediate level
23478,Natural Language Processing in TensorFlow,DeepLearning.AI,Intermediate level
23478,Fundamentals of Reinforcement Learning,University of Alberta,Intermediate level
23478,Introduction to Data Science in Python,University of Michigan,Intermediate level
7259,Introduction to Data Science in Python,University of Michigan,Intermediate level
84429,Introduction to Data Science in Python,University of Michigan,Intermediate level
23478,Natural Language Processing with Sequence Models,DeepLearning.AI,Intermediate level
23478,IBM Data Analyst Capstone Project,IBM,Intermediate level
23478,Introduction to Probability and Data with R,Duke University,Beginner level
23478,Probabilistic Graphical Models 1: Representation,Stanford University,Advanced level
23478,Advanced Computer Vision with TensorFlow,DeepLearning.AI,Intermediate level
23478,Applied Data Science Capstone,IBM,Intermediate level
23478,Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,Intermediate level
23478,"Custom Models, Layers, and Loss Functions with TensorFlow",DeepLearning.AI,Intermediate level
23478,Introduction to Genomic Technologies,Johns Hopkins University,
23478,A Crash Course in Causality: Inferring Causal Effects from Observational Data,,
23478,Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud,Beginner level
23478,"Introduction to Trading, Machine Learning & GCP",Google Cloud,Intermediate level
23478,Getting Started with SAS Programming,SAS,Beginner level
23478,Problem Solving with Excel,PwC,Beginner level
23478,Introduction to Embedded Machine Learning,,
23478,Sample-based Learning Methods,University of Alberta,Intermediate level
23478,AI for Medical Prognosis,DeepLearning.AI,Intermediate level
23478,Tools for Data Science,IBM,Beginner level
84429,Tools for Data Science,IBM,Beginner level
52319,Tools for Data Science,IBM,Beginner level
43517,Tools for Data Science,IBM,Beginner level
23478,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,Beginner level
23478,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",Intermediate level
23478,Fundamentals of Visualization with Tableau,"University of California, Davis",Beginner level
23478,Basic Statistics,University of Amsterdam,Beginner level
112871,Basic Statistics,University of Amsterdam,Beginner level
23478,"Data Wrangling, Analysis and AB Testing with SQL","University of California, Davis",Intermediate level
23478,Mathematics for Machine Learning: PCA,Imperial College London,Intermediate level
23478,Analyzing and Visualizing Data in Looker,Google Cloud,Beginner level
23478,Algorithms for DNA Sequencing,Johns Hopkins University,
23478,Apache Spark (TM) SQL for Data Analysts,Databricks,Intermediate level
